time,flow_1,flow_2,flow_3,flow_4,flow_5,flow_6,flow_7,flow_8,flow_9,flow_10,flow_11,flow_12,flow_13,flow_14,flow_15,flow_16,flow_17,flow_18,flow_19,flow_20,train or test
2022-07-30 20:00:00,72.3,29.8,106.2,61.6,8.6,111.6,21.3,2.7,9.5,4.608,6.8,5.54,10.1,5.2,3.7,8.5,12.7,11.11,6.19,2.9,train
2022-07-30 21:00:00,68.6,37.0,107.8,76.2,10.6,144.4,32.2,3.8,15.4,6.528,9.2,8.784,11.4,7.2,4.1,10.9,17.1,12.815,6.798,5.2,train
2022-07-30 22:00:00,67.4,43.1,104.8,78.8,11.5,151.3,31.9,5.3,14.4,8.036,14.1,8.872,7.9,8.9,4.7,13.3,19.5,15.845,7.09,5.4,train
2022-07-30 23:00:00,59.7,32.9,92.7,92.6,8.0,107.7,26.7,4.9,10.5,6.906,9.6,5.88,6.4,6.3,3.6,10.6,16.4,11.89,5.294,5.6,train
2022-07-31 00:00:00,38.7,19.8,82.5,42.8,5.1,63.3,13.8,2.4,6.5,2.166,6.2,4.024,5.3,3.8,1.8,7.2,8.4,9.99,2.454,3.1,train
2022-07-31 01:00:00,27.7,11.4,73.5,26.2,3.0,35.5,7.7,0.7,2.9,1.522,4.0,1.8,3.6,1.7,1.1,3.1,5.3,5.025,1.032,1.7,train
2022-07-31 02:00:00,21.1,8.2,71.3,16.8,1.9,22.8,3.8,0.3,2.0,0.249,1.5,0.876,3.0,0.5,0.5,1.9,2.3,3.595,0.546,1.3,train
2022-07-31 03:00:00,18.3,5.6,65.0,12.6,1.4,17.0,2.4,0.1,0.7,0.351,0.8,0.632,2.7,0.4,0.5,1.8,1.8,3.32,0.275,0.8,train
2022-07-31 04:00:00,17.1,4.7,64.7,12.4,1.0,14.4,2.1,0.3,1.0,0.129,0.5,0.528,2.2,0.4,0.5,1.2,1.3,2.29,0.24,0.8,train
2022-07-31 05:00:00,20.2,5.5,46.0,13.8,1.1,16.3,2.1,0.3,1.3,0.284,1.0,0.64,2.4,0.4,0.4,1.6,1.8,2.548,0.733,1.7,train
2022-07-31 06:00:00,30.0,11.0,56.3,24.8,2.8,41.3,5.9,0.9,3.5,1.061,2.0,1.98,3.3,2.0,0.7,2.5,3.9,4.18,1.29,1.9,train
2022-07-31 07:00:00,55.8,18.1,73.0,39.6,5.3,70.4,13.8,2.3,6.7,3.416,4.3,3.656,4.5,4.0,2.3,4.5,6.7,6.284,2.274,3.1,train
2022-07-31 08:00:00,44.1,25.0,83.4,50.4,9.1,97.0,18.8,2.8,9.0,3.916,6.3,4.036,5.7,4.3,3.6,6.8,10.3,9.646,3.954,2.8,train
2022-07-31 09:00:00,64.0,30.4,93.3,62.2,9.7,112.3,21.5,3.9,10.5,4.908,7.4,4.22,10.8,3.2,3.1,7.9,12.6,10.34,4.984,3.7,train
2022-07-31 10:00:00,54.7,29.2,91.3,62.6,8.2,106.0,22.5,3.5,10.5,3.95,8.2,4.608,11.2,2.8,2.7,8.3,13.0,10.02,3.894,3.2,train
2022-07-31 11:00:00,55.0,26.5,89.7,58.1,9.0,106.3,20.1,3.8,9.8,3.898,7.5,3.944,10.8,2.7,3.1,8.5,13.3,9.916,3.864,4.5,train
2022-07-31 12:00:00,48.6,25.1,85.7,48.9,7.7,94.0,17.8,3.2,8.3,3.118,7.0,3.96,10.4,2.7,3.2,7.7,12.5,8.232,3.242,3.9,train
2022-07-31 13:00:00,42.4,19.7,83.8,44.5,6.5,79.7,14.2,2.7,6.3,3.134,5.5,2.736,9.3,1.7,2.9,6.3,9.4,7.56,2.724,2.7,train
2022-07-31 14:00:00,35.3,15.5,78.5,29.7,4.7,59.7,9.9,2.0,5.2,1.776,4.5,2.592,9.0,1.5,2.1,4.8,7.0,5.7,1.806,2.1,train
2022-07-31 15:00:00,32.1,13.6,78.5,29.7,5.2,66.6,9.8,1.4,5.8,1.794,3.0,2.348,8.9,1.4,1.5,4.8,6.2,6.8,2.446,1.6,train
2022-07-31 16:00:00,40.2,16.6,80.2,32.6,4.9,74.0,10.9,1.3,6.1,1.778,4.3,1.612,9.3,1.8,1.4,4.5,8.0,6.87,2.474,2.2,train
2022-07-31 17:00:00,47.1,21.0,81.3,47.3,5.6,85.0,13.3,2.1,6.4,2.618,5.3,2.204,9.3,1.9,1.9,6.2,7.9,6.97,2.9,2.4,train
2022-07-31 18:00:00,52.6,25.6,87.0,63.0,6.6,94.2,17.2,2.3,8.2,2.858,7.1,2.905,10.0,2.9,2.7,7.0,9.8,7.83,3.364,3.2,train
2022-07-31 19:00:00,55.1,26.6,92.7,63.2,8.0,102.0,21.0,2.5,8.7,6.156,6.2,3.461,10.2,3.3,2.8,8.5,12.7,10.696,4.404,3.9,train
2022-07-31 20:00:00,65.6,31.3,96.8,67.5,8.6,120.5,27.5,3.2,11.5,4.608,8.2,5.54,11.7,5.2,3.6,9.3,14.8,12.48,6.19,4.5,train
2022-07-31 21:00:00,92.4,47.1,107.5,78.4,12.5,165.5,37.3,5.2,17.1,6.528,13.6,7.44,12.8,7.2,5.5,12.4,22.9,15.304,8.412,5.4,train
2022-07-31 22:00:00,68.8,45.9,116.5,81.2,11.6,172.2,38.4,6.8,18.0,8.036,14.1,8.872,8.7,8.9,5.2,15.9,24.1,15.845,7.09,6.6,train
2022-07-31 23:00:00,56.6,32.9,102.2,92.5,7.6,117.0,23.9,4.1,11.0,7.192,9.8,5.88,7.6,6.3,4.0,11.2,16.6,11.89,5.294,5.4,train
2022-08-01 00:00:00,35.8,18.2,87.3,52.5,5.6,59.3,14.4,1.7,5.7,2.166,6.3,4.024,5.2,3.8,2.7,7.4,10.1,9.99,2.454,3.3,train
2022-08-01 01:00:00,25.0,8.7,72.0,22.4,2.8,31.0,7.3,0.7,2.5,1.522,2.5,2.232,3.2,1.7,1.3,3.3,4.7,4.04,1.032,2.1,train
2022-08-01 02:00:00,19.7,5.6,67.3,15.5,1.5,19.0,3.7,0.6,1.2,0.249,1.0,0.828,2.7,0.5,0.5,2.0,2.4,3.12,0.546,1.4,train
2022-08-01 03:00:00,18.1,3.9,64.7,11.9,0.9,13.3,3.3,0.4,1.1,0.351,1.1,0.41,2.5,0.4,0.3,1.5,1.8,2.552,0.275,1.1,train
2022-08-01 04:00:00,15.6,3.3,66.0,11.0,1.0,14.0,2.6,0.3,0.7,0.129,0.8,0.24,2.7,0.4,0.1,1.6,1.9,2.414,0.24,1.3,train
2022-08-01 05:00:00,19.2,4.7,67.5,13.9,1.3,16.7,3.3,0.6,1.3,0.284,1.1,1.124,2.6,0.4,0.5,1.7,2.8,2.768,0.733,1.4,train
2022-08-01 06:00:00,30.2,12.5,63.0,32.1,3.8,51.7,10.5,1.6,6.0,1.061,2.4,2.2,3.7,2.0,1.3,3.0,6.3,4.808,1.29,2.8,train
2022-08-01 07:00:00,50.0,22.8,91.0,52.5,7.1,97.8,20.2,2.7,9.1,3.852,6.0,4.528,8.1,4.0,2.7,6.7,13.0,9.104,4.456,3.9,train
2022-08-01 08:00:00,54.0,26.6,97.8,59.2,8.4,112.5,19.8,2.7,8.7,4.248,7.2,5.2,8.6,4.3,3.5,7.0,12.3,9.152,4.806,4.0,train
2022-08-01 09:00:00,53.7,25.1,94.7,51.8,6.5,99.7,16.0,2.4,7.4,3.978,6.1,3.892,6.7,3.2,2.5,6.7,9.5,8.184,3.148,3.9,train
2022-08-01 10:00:00,49.1,21.5,88.0,45.2,6.1,87.0,13.9,1.5,6.7,2.818,5.8,2.916,4.4,2.8,1.9,6.0,9.4,8.112,2.96,2.8,train
2022-08-01 11:00:00,45.6,19.3,88.0,43.3,5.4,89.8,13.9,1.8,5.7,2.502,4.8,3.072,3.9,2.7,2.6,5.7,7.8,8.816,2.574,2.9,train
2022-08-01 12:00:00,44.0,19.5,83.5,39.0,5.0,104.0,12.2,1.4,5.9,2.13,5.3,3.152,4.0,2.7,2.2,5.8,7.8,6.712,2.47,3.0,train
2022-08-01 13:00:00,35.9,15.6,81.5,32.6,3.4,89.2,10.8,1.1,3.9,1.324,3.7,2.384,3.3,1.7,1.5,3.8,5.6,5.808,1.93,2.9,train
2022-08-01 14:00:00,27.6,12.5,74.5,25.7,2.7,64.0,7.5,1.0,2.8,0.734,2.9,1.896,3.6,1.5,1.1,3.5,4.3,4.8,1.312,2.3,train
2022-08-01 15:00:00,35.4,10.9,65.5,29.4,3.2,72.8,6.1,0.9,3.2,0.762,2.4,2.168,3.5,1.4,0.9,2.6,3.6,4.784,1.414,1.9,train
2022-08-01 16:00:00,41.0,17.5,68.5,29.6,3.2,67.8,7.6,0.8,3.8,1.285,4.1,1.54,3.5,1.8,0.9,3.4,4.6,4.896,1.345,2.1,train
2022-08-01 17:00:00,42.0,16.5,90.8,41.8,3.7,63.7,10.2,1.4,5.3,1.938,4.5,2.1,3.3,1.9,1.1,4.1,5.9,6.344,2.084,2.8,train
2022-08-01 18:00:00,48.9,21.7,126.2,52.2,6.3,80.7,15.4,2.1,7.2,2.54,6.8,2.9,4.3,2.9,2.3,6.0,9.8,7.704,3.364,2.6,train
2022-08-01 19:00:00,53.0,25.0,133.2,60.3,5.9,97.3,16.4,2.0,7.7,3.348,7.4,4.124,4.5,3.3,3.0,7.9,11.8,9.2,4.404,2.5,train
2022-08-01 20:00:00,64.7,31.6,105.6,66.1,8.2,115.0,23.7,3.0,10.6,5.288,8.4,6.168,4.9,5.2,2.8,9.4,14.0,11.168,6.19,3.5,train
2022-08-01 21:00:00,94.7,43.7,112.0,79.6,12.2,161.0,38.0,4.1,16.7,7.038,13.2,8.76,8.5,7.2,4.8,13.4,21.4,15.64,8.412,5.4,train
2022-08-01 22:00:00,68.8,45.2,114.0,80.7,10.9,167.3,37.1,6.4,16.0,7.034,14.5,9.2,8.7,8.9,5.2,15.0,23.2,18.584,7.09,7.4,train
2022-08-01 23:00:00,60.3,33.5,103.0,93.5,7.5,112.4,26.6,4.3,10.3,5.594,10.2,6.152,8.2,6.3,5.2,11.8,15.8,12.08,5.294,4.3,train
2022-08-02 00:00:00,39.7,18.1,84.4,59.4,4.7,59.0,13.4,1.2,5.0,3.27,5.1,3.24,5.2,3.8,2.7,6.1,8.9,7.64,2.454,3.0,train
2022-08-02 01:00:00,26.5,9.2,73.6,20.4,2.5,28.3,6.6,0.6,2.4,1.422,2.1,1.38,3.6,1.0,0.8,2.9,3.5,4.44,1.016,1.4,train
2022-08-02 02:00:00,20.7,5.0,69.7,14.8,1.2,18.5,3.9,0.5,1.5,0.268,1.1,0.744,3.1,0.6,0.6,1.9,1.6,2.96,0.549,1.2,train
2022-08-02 03:00:00,17.6,3.7,67.3,12.6,0.9,15.0,2.0,0.2,0.9,0.075,1.4,0.41,2.4,0.2,0.4,1.9,1.3,2.528,0.415,0.4,train
2022-08-02 04:00:00,15.1,3.0,67.0,11.3,0.9,13.5,2.4,0.3,1.0,0.13,1.7,0.535,2.4,0.2,0.2,1.3,1.2,2.414,0.431,0.7,train
2022-08-02 05:00:00,16.6,4.5,54.2,14.6,1.2,18.3,2.5,0.4,1.1,0.406,1.8,0.912,2.5,0.4,0.2,2.0,2.1,2.768,0.702,1.1,train
2022-08-02 06:00:00,31.5,12.2,61.2,32.4,3.5,51.7,9.8,1.5,5.1,1.061,3.6,2.2,3.3,1.6,1.3,3.3,5.6,4.808,1.29,1.9,train
2022-08-02 07:00:00,52.3,23.9,87.8,54.5,7.4,96.0,17.9,2.7,10.0,3.852,6.1,4.528,5.7,3.3,3.3,6.8,11.7,9.104,4.456,3.3,train
2022-08-02 08:00:00,54.9,24.4,96.2,59.6,8.2,106.7,20.2,2.8,9.0,4.248,6.1,5.2,5.2,4.1,3.1,7.2,11.3,9.152,4.806,4.6,train
2022-08-02 09:00:00,51.6,20.9,91.8,57.0,6.0,97.3,15.8,2.1,7.5,3.248,6.1,3.892,4.4,3.1,1.8,5.3,10.2,7.992,3.148,3.8,train
2022-08-02 10:00:00,45.1,20.0,84.5,45.0,4.9,82.7,13.7,1.7,6.5,3.292,5.2,2.916,5.1,2.5,1.5,6.1,8.4,8.112,2.96,2.5,train
2022-08-02 11:00:00,42.6,20.6,85.7,45.6,5.0,79.0,13.5,1.5,6.1,2.972,4.9,3.072,5.0,3.0,1.7,6.3,8.2,8.816,2.574,3.4,train
2022-08-02 12:00:00,43.0,18.4,85.8,38.3,4.7,75.8,13.2,1.3,5.2,2.13,4.4,3.152,4.8,2.7,2.1,5.1,8.4,6.712,2.47,3.6,train
2022-08-02 13:00:00,35.3,14.7,79.5,31.5,3.7,62.8,9.9,1.4,4.2,1.324,3.6,2.384,4.6,1.8,1.4,4.6,6.4,6.16,2.056,2.6,train
2022-08-02 14:00:00,30.0,11.3,65.0,34.5,3.1,52.0,6.8,0.9,3.7,0.734,3.4,1.896,4.1,1.3,0.8,4.1,4.5,4.8,1.464,2.7,train
2022-08-02 15:00:00,28.5,12.5,65.7,62.5,2.8,57.0,5.9,0.6,3.7,0.762,2.3,2.416,5.8,1.2,1.4,3.2,4.1,4.784,1.714,2.2,train
2022-08-02 16:00:00,31.7,17.8,71.0,30.5,2.9,57.2,7.3,0.9,3.2,1.285,3.0,1.54,7.1,1.0,0.9,3.4,4.9,4.896,1.324,2.2,train
2022-08-02 17:00:00,40.8,16.1,78.0,45.0,3.8,71.8,10.8,1.5,5.9,1.938,4.7,2.1,4.2,1.5,1.5,4.8,6.8,6.344,2.724,2.6,train
2022-08-02 18:00:00,69.6,22.1,86.8,55.3,5.6,82.7,15.8,1.6,7.7,2.54,6.4,2.9,5.4,2.2,2.1,6.6,8.8,7.704,2.794,3.1,train
2022-08-02 19:00:00,54.9,26.1,93.8,61.8,6.6,97.3,19.8,2.5,8.4,3.296,8.1,4.608,5.6,3.9,3.9,9.2,11.2,10.456,3.648,3.4,train
2022-08-02 20:00:00,70.1,33.3,102.4,72.6,9.7,131.0,29.1,3.5,12.5,5.778,10.1,6.236,4.9,6.0,5.1,10.5,15.1,15.368,6.794,4.1,train
2022-08-02 21:00:00,64.5,40.1,111.3,78.4,11.0,161.7,32.8,4.9,16.0,6.776,12.1,9.248,6.8,7.8,5.5,13.0,21.1,16.592,7.766,5.8,train
2022-08-02 22:00:00,66.7,39.5,112.3,68.8,10.0,144.0,33.0,5.5,15.4,6.802,12.7,7.052,9.1,8.4,5.0,14.0,20.2,16.0,7.934,5.4,train
2022-08-02 23:00:00,55.2,30.7,99.2,75.1,6.6,102.7,24.3,3.1,8.8,5.048,10.7,6.288,6.6,6.2,4.0,9.8,14.5,11.824,5.026,4.3,train
2022-08-03 00:00:00,33.4,16.7,85.5,45.6,4.0,56.3,12.7,2.1,4.6,2.588,4.9,4.268,5.4,3.7,1.8,5.3,8.9,7.184,2.888,1.8,train
2022-08-03 01:00:00,19.4,8.9,72.0,23.3,2.6,30.3,5.2,0.4,2.4,1.11,2.4,3.076,3.1,0.7,0.8,3.0,3.7,4.584,1.548,1.3,train
